PolygonID,Provincia,Canton,Distrito
0,ALAJUELA,UPALA,DOS RIOS
1,ALAJUELA,UPALA,AGUAS CLARAS
2,ALAJUELA,UPALA,YOLILLAL
3,GUANACASTE,LIBERIA,MAYORGA
4,ALAJUELA,UPALA,UPALA
5,ALAJUELA,LOS CHILES,EL AMPARO
6,GUANACASTE,LIBERIA,CANAS DULCES
7,ALAJUELA,GUATUSO,BUENAVISTA
8,GUANACASTE,LIBERIA,CURUBANDE
9,ALAJUELA,UPALA,BIJAGUA
10,GUANACASTE,LIBERIA,LIBERIA
11,ALAJUELA,LOS CHILES,SAN JORGE
12,GUANACASTE,BAGACES,MOGOTE
13,ALAJUELA,GUATUSO,SAN RAFAEL
14,ALAJUELA,GUATUSO,COTE
15,ALAJUELA,SAN CARLOS,MONTERREY
16,GUANACASTE,TILARAN,TIERRAS MORENAS
17,ALAJUELA,SAN CARLOS,VENADO
18,GUANACASTE,CARRILLO,PALMIRA
19,LIMON,POCOCI,RITA
20,GUANACASTE,TILARAN,ARENAL
21,ALAJUELA,SAN CARLOS,AGUAS ZARCAS
22,GUANACASTE,TILARAN,SANTA ROSA
23,GUANACASTE,TILARAN,TILARAN
24,LIMON,POCOCI,CARIARI
25,ALAJUELA,SAN CARLOS,FORTUNA
26,GUANACASTE,TILARAN,TRONADORA
27,GUANACASTE,CARRILLO,BELEN
28,ALAJUELA,SAN CARLOS,PALMERA
29,ALAJUELA,SAN CARLOS,FLORENCIA
30,LIMON,POCOCI,ROXANA
31,HEREDIA,SARAPIQUI,HORQUETAS
32,ALAJUELA,SAN RAMON,PEÑAS BLANCAS
443,PUNTARENAS,CORREDORES,CORREDOR
33,GUANACASTE,TILARAN,LIBANO
34,GUANACASTE,TILARAN,QUEBRADA GRANDE
35,GUANACASTE,SANTA CRUZ,CARTAGENA
36,ALAJUELA,SAN CARLOS,QUESADA
37,ALAJUELA,SAN CARLOS,VENECIA
38,ALAJUELA,ALAJUELA,SARAPIQUI
39,ALAJUELA,SAN CARLOS,TIGRA
40,GUANACASTE,ABANGARES,SIERRA
41,ALAJUELA,SAN RAMON,ANGELES
42,LIMON,GUACIMO,DUACARI
43,GUANACASTE,ABANGARES,JUNTAS
44,GUANACASTE,SANTA CRUZ,SANTA CRUZ
48,ALAJUELA,SAN CARLOS,BUENA VISTA
49,LIMON,GUACIMO,RIO JIMENEZ
50,LIMON,GUACIMO,GUACIMO
51,LIMON,POCOCI,JIMENEZ
45,GUANACASTE,SANTA CRUZ,DIRIA
46,PUNTARENAS,PUNTARENAS,MONTE VERDE
52,HEREDIA,HEREDIA,VARABLANCA
53,LIMON,SIQUIRRES,CAIRO
54,GUANACASTE,ABANGARES,SAN JUAN
55,PUNTARENAS,PUNTARENAS,GUACIMAL
56,PUNTARENAS,MONTES DE ORO,UNION
57,ALAJUELA,VALVERDE VEGA,TORO AMARILLO
58,ALAJUELA,ALFARO RUIZ,ZAPOTE
59,ALAJUELA,ALFARO RUIZ,LAGUNA
60,LIMON,GUACIMO,POCORA
61,ALAJUELA,ALFARO RUIZ,PALMIRA
62,LIMON,GUACIMO,MERCEDES
63,GUANACASTE,NICOYA,NICOYA
64,ALAJUELA,ALFARO RUIZ,GUADALUPE
47,LIMON,POCOCI,GUAPILES
65,ALAJUELA,ALFARO RUIZ,ZARCERO
66,PUNTARENAS,MONTES DE ORO,MIRAMAR
67,ALAJUELA,SAN RAMON,ZAPOTAL
68,ALAJUELA,POAS,SAN JUAN
69,ALAJUELA,POAS,SABANA REDONDA
70,ALAJUELA,ALAJUELA,SABANILLA
71,ALAJUELA,NARANJO,CIRRI SUR
72,SAN JOSE,VAZQUEZ DE CORONADO,DULCE NOMBRE DE JESUS
73,ALAJUELA,SAN RAMON,VOLIO
74,ALAJUELA,VALVERDE VEGA,SAN PEDRO
75,ALAJUELA,GRECIA,BOLIVAR
76,ALAJUELA,SAN RAMON,PIEDADES NORTE
77,ALAJUELA,GRECIA,SAN ISIDRO
78,ALAJUELA,VALVERDE VEGA,SARCHI NORTE
79,ALAJUELA,GRECIA,SAN ROQUE
444,PUNTARENAS,GOLFITO,PUERTO JIMENEZ
80,ALAJUELA,NARANJO,SAN JOSE
100,ALAJUELA,SAN RAMON,SAN ISIDRO
445,PUNTARENAS,GOLFITO,PAVON
81,ALAJUELA,NARANJO,SAN JERONIMO
82,ALAJUELA,ALAJUELA,SAN ISIDRO
452,PUNTARENAS,OSA,PALMAR
453,PUNTARENAS,OSA,PALMAR
454,PUNTARENAS,OSA,PALMAR
455,PUNTARENAS,OSA,SIERPE
